YYYY-MM,"Total consumer credit owned and securitized, seasonally adjusted level",Interest Rate,Elections (yes/no),Unemployment Rate,Motor Vehicle Loans Owned and Securitized,Motor Vehicle Loans Owned and Securitized %,Credit Cards and Other Revolving Plans,Credit Cards and Other Revolving Plans %,Student loans,Student loans %,Mortgages,Mortgages %,Other
2000-06,1609548000000,6.08,1,4,546785000000,34,211498000000,13,0,0,0,0,851265000000
2000-07,1629751000000,6.07,1,4,565916000000,35,212011000000,13,0,0,0,0,851824000000
2000-08,1651615000000,6.22,1,4.1,573508000000,35,212542000000,13,0,0,0,0,865565000000
2000-09,1669001000000,6.07,1,3.9,579545000000,35,220120000000,13,0,0,0,0,869336000000
2000-10,1684599000000,6.12,1,3.9,581221000000,35,220460000000,13,0,0,0,0,882918000000
2000-11,1700945000000,5.92,1,3.9,586861000000,35,219837000000,13,0,0,0,0,894247000000
2000-12,1716970000000,5.32,0,3.9,592390000000,35,223610000000,13,0,0,0,0,900970000000
2001-01,1729852000000,4.6,0,4.2,590387000000,34,232345000000,13,0,0,0,0,907120000000
2001-02,1748702000000,4.47,0,4.2,596821000000,34,227700000000,13,0,0,0,0,924181000000
2001-03,1760542000000,4.09,0,4.3,600862000000,34,227061000000,13,0,0,0,0,932619000000
2001-04,1773098000000,3.94,0,4.4,610164000000,34,228971000000,13,0,0,0,0,933963000000
2001-05,1781177000000,3.63,0,4.3,612944000000,34,234762000000,13,0,0,0,0,933471000000
2001-06,1792368000000,3.72,0,4.5,616795000000,34,234192000000,13,0,0,0,0,941381000000
2001-07,1797351000000,3.53,0,4.6,634388000000,35,230785000000,13,0,0,0,0,932178000000
2001-08,1806359000000,3.41,0,4.9,637567000000,35,231820000000,13,0,0,0,0,936972000000
2001-09,1814252000000,2.49,0,5,640353000000,35,233577000000,13,0,0,0,0,940322000000
2001-10,1829840000000,2.07,0,5.3,674204000000,37,230092000000,13,0,0,0,0,925544000000
2001-11,1857843000000,2.06,0,5.5,684522000000,37,236126000000,13,0,0,0,0,937195000000
