YYYY-MM,"Total consumer credit owned and securitized, seasonally adjusted level",Interest Rate,Elections (yes/no),Unemployment Rate,Motor Vehicle Loans Owned and Securitized,Motor Vehicle Loans Owned and Securitized %,Credit Cards and Other Revolving Plans,Credit Cards and Other Revolving Plans %,Student loans,Student loans %,Mortgages,Mortgages %,Other
2000-06,"1,609,548,000,000",6.08,1,4.00%,"546,785,000,000",34%,"211,498,000,000",13%,0,0%,0,0,"851,265,000,000"
2000-07,"1,629,751,000,000",6.07,1,4.00%,"565,916,000,000",35%,"212,011,000,000",13%,0,0%,0,0,"851,824,000,000"
2000-08,"1,651,615,000,000",6.22,1,4.10%,"573,508,000,000",35%,"212,542,000,000",13%,0,0%,0,0,"865,565,000,000"
2000-09,"1,669,001,000,000",6.07,1,3.90%,"579,545,000,000",35%,"220,120,000,000",13%,0,0%,0,0,"869,336,000,000"
2000-10,"1,684,599,000,000",6.12,1,3.90%,"581,221,000,000",35%,"220,460,000,000",13%,0,0%,0,0,"882,918,000,000"
2000-11,"1,700,945,000,000",5.92,1,3.90%,"586,861,000,000",35%,"219,837,000,000",13%,0,0%,0,0,"894,247,000,000"
2000-12,"1,716,970,000,000",5.32,0,3.90%,"592,390,000,000",35%,"223,610,000,000",13%,0,0%,0,0,"900,970,000,000"
2001-01,"1,729,852,000,000",4.60,0,4.20%,"590,387,000,000",34%,"232,345,000,000",13%,0,0%,0,0,"907,119,000,000"
2001-02,"1,748,702,000,000",4.47,0,4.20%,"596,821,000,000",34%,"227,700,000,000",13%,0,0%,0,0,"924,181,000,000"
2001-03,"1,760,542,000,000",4.09,0,4.30%,"600,862,000,000",34%,"227,061,000,000",13%,0,0%,0,0,"932,619,000,000"
2001-04,"1,773,098,000,000",3.94,0,4.40%,"610,164,000,000",34%,"228,971,000,000",13%,0,0%,0,0,"933,964,000,000"
2001-05,"1,781,177,000,000",3.63,0,4.30%,"612,944,000,000",34%,"234,762,000,000",13%,0,0%,0,0,"933,471,000,000"
2001-06,"1,792,368,000,000",3.72,0,4.50%,"616,795,000,000",34%,"234,192,000,000",13%,0,0%,0,0,"941,382,000,000"
2001-07,"1,797,351,000,000",3.53,0,4.60%,"634,388,000,000",35%,"230,785,000,000",13%,0,0%,0,0,"932,178,000,000"
2001-08,"1,806,359,000,000",3.41,0,4.90%,"637,567,000,000",35%,"231,820,000,000",13%,0,0%,0,0,"936,972,000,000"
2001-09,"1,814,252,000,000",2.49,0,5.00%,"640,353,000,000",35%,"233,577,000,000",13%,0,0%,0,0,"940,322,000,000"
2001-10,"1,829,840,000,000",2.07,0,5.30%,"674,204,000,000",37%,"230,092,000,000",13%,0,0%,0,0,"925,544,000,000"
2001-11,"1,857,843,000,000",2.06,0,5.50%,"684,522,000,000",37%,"236,126,000,000",13%,0,0%,0,0,"937,195,000,000"
2001-12,"1,867,853,000,000",2.17,0,5.70%,"688,210,000,000",37%,"239,548,000,000",13%,0,0%,0,0,"940,095,000,000"
2002-01,"1,867,419,000,000",2.29,0,5.70%,"682,285,000,000",37%,"241,435,000,000",13%,0,0%,0,0,"943,699,000,000"
2002-02,"1,881,905,000,000",2.25,0,5.70%,"687,578,000,000",37%,"242,617,000,000",13%,0,0%,0,0,"951,710,000,000"
2002-03,"1,894,690,000,000",2.70,0,5.70%,"692,249,000,000",37%,"240,305,000,000",13%,0,0%,0,0,"962,137,000,000"
2002-04,"1,903,958,000,000",2.35,0,5.90%,"692,424,000,000",36%,"240,912,000,000",13%,0,0%,0,0,"970,622,000,000"
2002-05,"1,914,614,000,000",2.34,0,5.80%,"696,299,000,000",36%,"245,685,000,000",13%,0,0%,0,0,"972,629,000,000"
2002-06,"1,927,181,000,000",2.06,0,5.80%,"700,870,000,000",36%,"240,776,000,000",12%,0,0%,0,0,"985,536,000,000"
2002-07,"1,939,211,000,000",1.80,0,5.80%,"703,210,000,000",36%,"237,237,000,000",12%,0,0%,0,0,"998,765,000,000"
2002-08,"1,947,500,000,000",1.74,0,5.70%,"706,215,000,000",36%,"244,029,000,000",13%,0,0%,0,0,"997,256,000,000"
2002-09,"1,950,651,000,000",1.53,0,5.70%,"707,358,000,000",36%,"254,540,000,000",13%,0,0%,0,0,"988,754,000,000"
2002-10,"1,957,151,000,000",1.46,0,5.70%,"708,794,000,000",36%,"254,665,000,000",13%,0,0%,0,0,"993,692,000,000"
2002-11,"1,965,179,000,000",1.56,0,5.90%,"711,701,000,000",36%,"251,409,000,000",13%,0,0%,0,0,"1,002,069,000,000"
2002-12,"1,972,112,000,000",1.32,0,6.00%,"714,212,000,000",36%,"252,252,000,000",13%,0,0%,0,0,"1,005,648,000,000"
