YYYY-MM,"Total consumer credit owned and securitized, seasonally adjusted level",Interest Rate,Elections (yes/no),Inflation Rate,Unemployment Rate,Motor Vehicle Loans Owned and Securitized,Credit Cards and Other Revolving Plans,Student loans,Mortgages,Other
2000-06,1609548000000,6.08,1,3.7,4,546785000000,211498000000,0,0,851265000000
2000-07,1629751000000,6.07,1,3.7,4,565916000000,212011000000,0,0,851824000000
2000-08,1651615000000,6.22,1,3.4,4.1,573508000000,212542000000,0,0,865565000000
2000-09,1669001000000,6.07,1,3.5,3.9,579545000000,220120000000,0,0,869336000000
2000-10,1684599000000,6.12,1,3.4,3.9,581221000000,220460000000,0,0,882918000000
2000-11,1700945000000,5.92,1,3.4,3.9,586861000000,219837000000,0,0,894247000000
2000-12,1716970000000,5.32,0,3.4,3.9,592390000000,223610000000,0,0,900970000000
2001-01,1729852000000,4.6,0,3.7,4.2,590387000000,232345000000,0,0,907120000000
2001-02,1748702000000,4.47,0,3.5,4.2,596821000000,227700000000,0,0,924181000000
2001-03,1760542000000,4.09,0,2.9,4.3,600862000000,227061000000,0,0,932619000000
2001-04,1773098000000,3.94,0,3.3,4.4,610164000000,228971000000,0,0,933963000000
2001-05,1781177000000,3.63,0,3.6,4.3,612944000000,234762000000,0,0,933471000000
2001-06,1792368000000,3.72,0,3.2,4.5,616795000000,234192000000,0,0,941381000000
2001-07,1797351000000,3.53,0,2.7,4.6,634388000000,230785000000,0,0,932178000000
2001-08,1806359000000,3.41,0,2.7,4.9,637567000000,231820000000,0,0,936972000000
2001-09,1814252000000,2.49,0,2.6,5,640353000000,233577000000,0,0,940322000000
2001-10,1829840000000,2.07,0,2.1,5.3,674204000000,230092000000,0,0,925544000000
2001-11,1857843000000,2.06,0,1.9,5.5,684522000000,236126000000,0,0,937195000000
2001-12,1867853000000,2.17,0,1.6,5.7,688210000000,239548000000,0,0,940095000000
2002-01,1867419000000,2.29,0,1.1,5.7,682285000000,241435000000,0,0,943699000000
2002-02,1881905000000,2.25,0,1.1,5.7,687578000000,242617000000,0,0,951710000000
2002-03,1894690000000,2.7,0,1.5,5.7,692249000000,240305000000,0,0,962136000000
2002-04,1903958000000,2.35,0,1.6,5.9,692424000000,240912000000,0,0,970622000000
2002-05,1914614000000,2.34,0,1.2,5.8,696299000000,245685000000,0,0,972630000000
2002-06,1927181000000,2.06,0,1.1,5.8,700870000000,240776000000,0,0,985535000000
2002-07,1939211000000,1.8,0,1.5,5.8,703210000000,237237000000,0,0,998764000000
2002-08,1947500000000,1.74,0,1.8,5.7,706215000000,244029000000,0,0,997256000000
2002-09,1950651000000,1.53,0,1.5,5.7,707358000000,254540000000,0,0,988753000000
2002-10,1957151000000,1.46,0,2,5.7,708794000000,254665000000,0,0,993692000000
2002-11,1965179000000,1.56,0,2.2,5.9,711701000000,251409000000,0,0,1002069000000
2002-12,1972112000000,1.32,0,2.4,6,714212000000,252252000000,0,0,1005648000000
2003-01,1982561000000,1.31,0,2.6,5.8,710089000000,253274000000,0,0,1019198000000
2003-02,1993406000000,1.24,0,3,5.9,713973000000,244359000000,0,0,1035074000000
2003-03,2001208000000,1.19,0,3,5.9,716768000000,246249000000,0,0,1038191000000
2003-04,2014100000000,1.22,0,2.2,6,726902000000,240913000000,0,0,1046285000000
2003-05,2027503000000,1.13,0,2.1,6.1,731739000000,245680000000,0,0,1050084000000
2003-06,2033268000000,1.09,0,2.1,6.3,733820000000,244658000000,0,0,1054790000000
2003-07,2040064000000,1.28,0,2.1,6.2,750351000000,244672000000,0,0,1045041000000
2003-08,2049124000000,1.35,0,2.2,6.1,753683000000,243804000000,0,0,1051637000000
2003-09,2057091000000,1.15,0,2.3,6.1,756614000000,244685000000,0,0,1055792000000
2003-10,2065495000000,1.31,0,2,6,759485000000,240652000000,0,0,1065358000000
2003-11,2066400000000,1.39,0,1.8,5.8,759818000000,267277000000,0,0,1039305000000
2003-12,2077361000000,1.26,0,1.9,5.7,763848000000,270650000000,0,0,1042863000000
2004-01,2088243000000,1.28,0,1.9,5.7,760294000000,284116000000,0,0,1043833000000
2004-02,2095340000000,1.21,0,1.7,5.6,762878000000,279266000000,0,0,1053196000000
2004-03,2109720000000,1.2,0,1.7,5.8,768114000000,278292000000,0,0,1063314000000
2004-04,2112716000000,1.55,0,2.3,5.6,768021000000,279647000000,0,0,1065048000000
2004-05,2120839000000,1.83,0,3.1,5.6,770974000000,281197000000,0,0,1068668000000
2004-06,2127989000000,2.09,1,3.3,5.6,773574000000,287189000000,0,0,1067226000000
2004-07,2137093000000,2.13,1,3,5.5,790243000000,286399000000,0,0,1060451000000
2004-08,2143435000000,1.99,1,2.7,5.4,792589000000,287457000000,0,0,1063389000000
2004-09,2160148000000,2.21,1,2.5,5.4,798769000000,292267000000,0,0,1069112000000
2004-10,2176719000000,2.28,1,3.2,5.5,797863000000,291483000000,0,0,1087373000000
2004-11,2183746000000,2.63,1,3.5,5.4,800439000000,291006000000,0,0,1092301000000
2004-12,2192246000000,2.75,0,3.3,5.4,803555000000,286795000000,0,0,1101896000000
2005-01,2196778000000,2.96,0,3,5.3,803803000000,308969000000,9819903391,237166549731,837019546878
2005-02,2211559000000,3.2,0,3,5.4,809212000000,297782000000,11009219506,247274310781,846281469713
2005-03,2220199000000,3.35,0,3.1,5.2,812373000000,301123000000,11867063974,253898403733,840937532293
2005-04,2232535000000,3.33,0,3.5,5.2,809581000000,299835000000,12419717185,243767628792,866931654023
2005-05,2232672000000,3.32,0,2.8,5.1,809630000000,299611000000,12958172814,253364896581,857107930605
2005-06,2247833000000,3.45,0,2.5,5,815128000000,298464000000,15297873266,271397839550,847545287184
2005-07,2257231000000,3.8,0,3.2,5,825211000000,300734000000,17199060694,315572225871,798514713435
2005-08,2267045000000,3.77,0,3.6,4.9,828798000000,301834000000,10970202756,308437176981,817005620263
2005-09,2271633000000,4.01,0,4.7,5,830476000000,300910000000,11184107376,299025815301,830037077323
2005-10,2276843000000,4.31,0,4.3,5,823097000000,294854000000,14422960647,282067351907,862401687446
2005-11,2283661000000,4.34,0,3.5,5,825562000000,299628000000,14633296231,262123458247,881714245522
2005-12,2290928000000,4.38,0,3.4,4.9,828189000000,298194000000,14412265121,230567222593,919565512286
2006-01,2367471000000,4.58,0,4,4.7,781943000000,303298000000,11809789061,225494358070,1044925852869
2006-02,2374977000000,4.73,0,3.6,4.8,784422000000,297657000000,13786339638,229705273160,1049406387202
2006-03,2385808000000,4.82,0,3.4,4.7,787999000000,293220000000,14690443380,236798555231,1053100001389
2006-04,2397681000000,4.9,0,3.5,4.7,774149000000,289989000000,16412693566,239481993683,1077648312751
2006-05,2407161000000,5.07,0,4.2,4.6,777211000000,297010000000,19986317908,238032437211,1074921244881
2006-06,2395813000000,5.21,0,4.3,4.6,773546000000,298596000000,21137647372,240488293851,1062045058777
2006-07,2403099000000,5.11,0,4.1,4.7,792096000000,297744000000,21064647026,243240650463,1048953702511
2006-08,2415732000000,5.01,0,3.8,4.7,796260000000,299909000000,11496093959,247283983687,1060782922354
2006-09,2426813000000,4.91,0,2.1,4.5,799913000000,304579000000,11307533474,250785303947,1060228162579
2006-10,2429400000000,4.99,0,1.3,4.4,784975000000,301027000000,12675366667,247704162895,1083018470438
2006-11,2440749000000,4.94,0,2,4.5,788642000000,300534000000,13477425011,243313351626,1094782223363
2006-12,2456716000000,5,0,2.5,4.4,793801000000,307976000000,12659432188,249880883644,1092398684168
2007-01,2457946000000,5.09,0,2.1,4.6,780934000000,315023000000,11688075297,243931733603,1106369191100
2007-02,2470050000000,4.96,0,2.4,4.5,784780000000,311311000000,11857665649,234236338669,1127864995682
2007-03,2484433000000,4.9,0,2.8,4.4,789350000000,303085000000,13138280178,226485580016,1152374139806
2007-04,2493730000000,4.89,0,2.6,4.5,785894000000,304559000000,13557179650,220125870148,1169593950202
2007-05,2510016000000,4.95,0,2.7,4.4,791027000000,308951000000,12156944483,214614030265,1183267025252
2007-06,2519121000000,4.91,0,2.7,4.6,793896000000,312338000000,11965627666,201398797361,1199522574973
2007-07,2533668000000,4.85,0,2.4,4.7,808948000000,316329000000,12038432826,190894056286,1205458510888
2007-08,2552767000000,4.19,0,2,4.6,815046000000,313308000000,10670579282,168300093617,1245442327101
2007-09,2566995000000,4.05,0,2.8,4.7,819589000000,320131000000,11182579968,144502449150,1271589970882
2007-10,2582326000000,4.04,0,3.5,4.7,801160000000,319946000000,9631334346,141382146832,1310206518822
2007-11,2597649000000,3.26,0,4.3,4.7,805914000000,323726000000,10205180532,135049759126,1322754060342
